gene,pathway_id,pathway_name,pmids,source_url
WEE1,R-XTR-453279,Mitotic G1 phase and G1/S transition,,https://reactome.org/content/detail/R-XTR-453279
CDK6,R-XTR-453279,Mitotic G1 phase and G1/S transition,,https://reactome.org/content/detail/R-XTR-453279
CDK4,R-XTR-453279,Mitotic G1 phase and G1/S transition,,https://reactome.org/content/detail/R-XTR-453279
CCNE1,R-XTR-453279,Mitotic G1 phase and G1/S transition,,https://reactome.org/content/detail/R-XTR-453279
PIK3CA,R-MMU-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-MMU-5654708
KRAS,R-MMU-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-MMU-5654708
PIK3CA,R-HSA-74752,Signaling by Insulin receptor,8276779,https://reactome.org/content/detail/R-HSA-74752
KRAS,R-HSA-74752,Signaling by Insulin receptor,8276779,https://reactome.org/content/detail/R-HSA-74752
ATM,R-SSC-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,,https://reactome.org/content/detail/R-SSC-6803207
CDK6,R-BTA-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-BTA-2559583
CDK4,R-BTA-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-BTA-2559583
CCNE1,R-BTA-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-BTA-2559583
ATM,R-BTA-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-BTA-2559583
TP53,R-BTA-2559583,Cellular Senescence,,https://reactome.org/content/detail/R-BTA-2559583
CCNE1,R-MMU-2559586,DNA Damage/Telomere Stress Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559586
ATM,R-MMU-2559586,DNA Damage/Telomere Stress Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559586
TP53,R-MMU-2559586,DNA Damage/Telomere Stress Induced Senescence,,https://reactome.org/content/detail/R-MMU-2559586
PTEN,R-SSC-5689896,Ovarian tumor domain proteases,,https://reactome.org/content/detail/R-SSC-5689896
TP53,R-SSC-5689896,Ovarian tumor domain proteases,,https://reactome.org/content/detail/R-SSC-5689896
PIK3CA,R-SSC-9607240,FLT3 Signaling,,https://reactome.org/content/detail/R-SSC-9607240
KRAS,R-SSC-9607240,FLT3 Signaling,,https://reactome.org/content/detail/R-SSC-9607240
MDM2,R-GGA-6806003,Regulation of TP53 Expression and Degradation,,https://reactome.org/content/detail/R-GGA-6806003
ATM,R-GGA-6806003,Regulation of TP53 Expression and Degradation,,https://reactome.org/content/detail/R-GGA-6806003
MDM2,R-GGA-6804757,Regulation of TP53 Degradation,,https://reactome.org/content/detail/R-GGA-6804757
ATM,R-GGA-6804757,Regulation of TP53 Degradation,,https://reactome.org/content/detail/R-GGA-6804757
EGFR,R-HSA-5638303,Inhibition of Signaling by Overexpressed EGFR,15269313; 16314626; 15837620; 20033049; 20966921,https://reactome.org/content/detail/R-HSA-5638303
EGFR,R-HSA-5638302,Signaling by Overexpressed Wild-Type EGFR in Cancer,3477813,https://reactome.org/content/detail/R-HSA-5638302
TP53,R-HSA-8941855,RUNX3 regulates CDKN1A transcription,16135801; 20599712; 20353948,https://reactome.org/content/detail/R-HSA-8941855
AURKA,R-DRE-8854521,Interaction between PHLDA1 and AURKA,,https://reactome.org/content/detail/R-DRE-8854521
TP53,R-DRE-8941855,RUNX3 regulates CDKN1A transcription,,https://reactome.org/content/detail/R-DRE-8941855
MDM2,R-SSC-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-SSC-5633007
ATM,R-SSC-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-SSC-5633007
TP53,R-SSC-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-SSC-5633007
AURKA,R-SSC-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-SSC-5633007
ATR,R-SSC-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-SSC-5633007
KRAS,R-CFA-171007,p38MAPK events,,https://reactome.org/content/detail/R-CFA-171007
ATM,R-CFA-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,,https://reactome.org/content/detail/R-CFA-6803207
CDK4,R-DME-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,,https://reactome.org/content/detail/R-DME-9754119
MYC,R-DME-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors,,https://reactome.org/content/detail/R-DME-8866911
EGFR,R-DME-9652282,Drug-mediated inhibition of ERBB2 signaling,,https://reactome.org/content/detail/R-DME-9652282
TP53,R-HSA-8853884,Transcriptional Regulation by VENTX,8898218; 20028861; 11549314; 20833819; 21325273; 21670496; 22606298; 24706756; 21679462; 11493559; 10948449; 29872044; 25633035; 28654420; 27175592; 18031719; 30590909; 26208636,https://reactome.org/content/detail/R-HSA-8853884
PIK3CA,R-BTA-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-BTA-5654708
KRAS,R-BTA-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-BTA-5654708
PIK3CA,R-RNO-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-RNO-5654708
KRAS,R-RNO-5654708,Downstream signaling of activated FGFR3,,https://reactome.org/content/detail/R-RNO-5654708
KRAS,R-HSA-9656223,Signaling by RAF1 mutants,23875798; 25435214,https://reactome.org/content/detail/R-HSA-9656223
KRAS,R-HSA-5674135,MAP2K and MAPK activation,22569528; 22177953; 20674547; 21779496; 19091303,https://reactome.org/content/detail/R-HSA-5674135
KRAS,R-HSA-5675221,Negative regulation of MAPK pathway,19158341; 21779496; 16892053; 15664191; 19219045; 17496916; 23443682,https://reactome.org/content/detail/R-HSA-5675221
PIK3CA,R-MMU-5654716,Downstream signaling of activated FGFR4,,https://reactome.org/content/detail/R-MMU-5654716
KRAS,R-MMU-5654716,Downstream signaling of activated FGFR4,,https://reactome.org/content/detail/R-MMU-5654716
CCNE1,R-MMU-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,,https://reactome.org/content/detail/R-MMU-69200
TP53,R-MMU-8941855,RUNX3 regulates CDKN1A transcription,,https://reactome.org/content/detail/R-MMU-8941855
ATM,R-MMU-6803207,TP53 Regulates Transcription of Caspase Activators and Caspases,,https://reactome.org/content/detail/R-MMU-6803207
MDM2,R-MMU-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-MMU-5633007
ATM,R-MMU-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-MMU-5633007
TP53,R-MMU-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-MMU-5633007
AURKA,R-MMU-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-MMU-5633007
ATR,R-MMU-5633007,Regulation of TP53 Activity,,https://reactome.org/content/detail/R-MMU-5633007
MYC,R-XTR-5689880,Ub-specific processing proteases,,https://reactome.org/content/detail/R-XTR-5689880
MDM2,R-XTR-5689880,Ub-specific processing proteases,,https://reactome.org/content/detail/R-XTR-5689880
PTEN,R-XTR-5689880,Ub-specific processing proteases,,https://reactome.org/content/detail/R-XTR-5689880
TP53,R-XTR-5689880,Ub-specific processing proteases,,https://reactome.org/content/detail/R-XTR-5689880
